101,28,06,2013,Volkswagen,Golf,Hatchback,Przód,1200.00,1700.00,75000.00
101,16,06,2013,Volkswagen,Tiguan,SUV,Obie_osie,1600.00,2500.00,95000.00
101,01,01,1900,Mer","cedes,SLR,Sedan,Ty³,2000.00,2500.00,900000.00
101,01,01,1900,Mer","cedes,SLR,Sedan,Ty³,2000.00,2500.00,900000.00
101,01,01,1900,Mer","cedes,SLR,Sedan,Ty³,2200.00,2500.00,900000.00
101,01,01,1900,Mer","cedes,SLR,Sedan,Ty³,2000.00,2500.00,900000.00
101,01,01,1900,Mer","cedes,SLR,Sedan,Ty³,2000.00,2500.00,900000.00
101,01,01,1900,Mer","cedes,SLR,Sedan,Ty³,2000.00,2500.00,900000.00
101,01,01,1900,Mer","cedes,SLR,Sedan,Ty³,2000.00,2500.00,900000.00
102,29,06,2013,Volkswagen,Passat,Sedan,Przód,1400.00,2000.00,95000.00
102,01,01,1900,Mer","cedes,SLR,Sedan,Ty³,2000.00,2500.00,900000.00
102,01,01,1900,Mer","cedes,SLR,Sedan,Ty³,2000.00,2500.00,900000.00
102,01,01,1900,Volkswagen,Golf,Hatchback,Przód,1300.00,1800.00,70000.00
103,01,01,1900,Mer","cedes,SLR,Sedan,Ty³,2000.00,2500.00,850000.00
103,01,01,1900,Volkswagen,Golf,Hatchback,Przód,1300.00,1800.00,70000.00
